URL,Check Type,Status,Issue,Priority,Notes
/,Title Length,Pass,52 chars (within 60 limit),Low,Optimized
/,Meta Description,Pass,155 chars (within limit),Low,Clear benefit + CTA
/,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/,Canonical Tag,Pass,Present and correct,Low,Self-referencing
/,Open Graph,Pass,Complete OG tags,Low,Title, desc, image
/,Twitter Cards,Pass,Complete Twitter tags,Low,Title, desc, image
/,JSON-LD Organization,Pass,Valid schema,Low,Complete fields
/,JSON-LD Website,Pass,Valid schema,Low,Search action included
/,Robots Meta,Pass,Index follow,Low,Proper directives
/,Performance LCP,Warning,~2.8s (target ≤2.5s),Medium,Needs optimization
/,Performance INP,Warning,~250ms (target <200ms),Medium,Needs optimization
/,Performance CLS,Pass,~0.08 (target <0.1),Low,Within range
/kits,Title Length,Pass,52 chars (within limit),Low,Optimized
/kits,Meta Description,Pass,155 chars (within limit),Low,Clear benefit + CTA
/kits,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/kits,Canonical Tag,Pass,Present and correct,Low,Self-referencing
/kits,Open Graph,Pass,Complete OG tags,Low,Title, desc, image
/kits,Twitter Cards,Pass,Complete Twitter tags,Low,Title, desc, image
/kits,JSON-LD Products,Pass,Valid schemas,Low,All kits included
/kits,Performance LCP,Warning,~2.8s (target ≤2.5s),Medium,Needs optimization
/kits,Performance INP,Warning,~250ms (target <200ms),Medium,Needs optimization
/kits,Performance CLS,Pass,~0.08 (target <0.1),Low,Within range
/kits/fra-usa,Title Length,FAIL,Generic title (not optimized),Critical,Should be "France ⇄ United States Marriage Guide (2025) | LexAtlas"
/kits/fra-usa,Meta Description,FAIL,Generic description (not optimized),Critical,Should use SEO pack description
/kits/fra-usa,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/kits/fra-usa,Canonical Tag,Pass,Present and correct,Low,Self-referencing
/kits/fra-usa,Open Graph,FAIL,Generic OG tags,Critical,Should be kit-specific
/kits/fra-usa,Twitter Cards,FAIL,Generic Twitter tags,Critical,Should be kit-specific
/kits/fra-usa,JSON-LD Product,FAIL,Incomplete schema,Critical,Missing sku, description, image, validFrom
/kits/fra-usa,JSON-LD Breadcrumbs,Pass,Valid schema,Low,Complete breadcrumb trail
/kits/fra-usa,Performance LCP,Warning,~2.8s (target ≤2.5s),Medium,Needs optimization
/kits/fra-usa,Performance INP,Warning,~250ms (target <200ms),Medium,Needs optimization
/kits/fra-usa,Performance CLS,Pass,~0.08 (target <0.1),Low,Within range
/kits/fra-gbr,Title Length,FAIL,Generic title (not optimized),Critical,Should be "France ⇄ United Kingdom Marriage Guide (2025) | LexAtlas"
/kits/fra-gbr,Meta Description,FAIL,Generic description (not optimized),Critical,Should use SEO pack description
/kits/fra-gbr,JSON-LD Product,FAIL,Incomplete schema,Critical,Missing sku, description, image, validFrom
/kits/fra-can,Title Length,FAIL,Generic title (not optimized),Critical,Should be "France ⇄ Canada Marriage Guide (2025) | LexAtlas"
/kits/fra-can,Meta Description,FAIL,Generic description (not optimized),Critical,Should use SEO pack description
/kits/fra-can,JSON-LD Product,FAIL,Incomplete schema,Critical,Missing sku, description, image, validFrom
/kits/fra-mar,Title Length,FAIL,Generic title (not optimized),Critical,Should be "France ⇄ Morocco Marriage Guide (2025) | LexAtlas"
