keyword,lang,intent,target URL,H1 suggestion,priority,search volume,difficulty,business potential
marriage in France for US citizen,en,transactional,/kits/fra-usa,"France → USA Marriage Kit",H,2400,3,5
marriage in France for UK citizen,en,transactional,/kits/fra-gbr,"France → UK Marriage Kit",H,1800,3,5
marriage in France for Canadian,en,transactional,/kits/fra-can,"France → Canada Marriage Kit",H,1600,3,5
marriage in France for German citizen,en,transactional,/kits/fra-deu,"France → Germany Marriage Kit",H,1200,2,4
marriage in France for Italian citizen,en,transactional,/kits/fra-ita,"France → Italy Marriage Kit",H,1000,2,4
marriage in France for Spanish citizen,en,transactional,/kits/fra-esp,"France → Spain Marriage Kit",H,900,2,4
marriage in France for Belgian citizen,en,transactional,/kits/fra-bel,"France → Belgium Marriage Kit",M,600,2,4
marriage in France for Swiss citizen,en,transactional,/kits/fra-che,"France → Switzerland Marriage Kit",M,500,2,3
marriage in France for Portuguese citizen,en,transactional,/kits/fra-prt,"France → Portugal Marriage Kit",M,400,2,3
marriage in France for Moroccan citizen,en,transactional,/kits/fra-mar,"France → Morocco Marriage Kit",M,300,2,3
marriage documents France US citizen,en,informational,/kits/fra-usa,"Marriage Documents for France → USA",H,1800,3,5
marriage requirements France foreigner,en,informational,/kits/fra-usa,"Marriage Requirements in France",H,1500,3,5
marriage process France step by step,en,informational,/kits/fra-usa,"Marriage Process in France",H,1200,2,4
marriage timeline France foreigner,en,informational,/kits/fra-usa,"Marriage Timeline in France",M,800,2,4
marriage costs France foreigner,en,informational,/kits/fra-usa,"Marriage Costs in France",M,600,2,3
marriage recognition France EU,en,informational,/kits/fra-deu,"Marriage Recognition in France",H,1000,2,4
marriage certificate France translation,en,informational,/kits/fra-usa,"Marriage Certificate Translation France",M,700,2,3
marriage apostille France,en,informational,/kits/fra-usa,"Marriage Apostille France",M,500,2,3
marriage single status certificate France,en,informational,/kits/fra-usa,"Single Status Certificate France",M,400,2,3
marriage birth certificate France,en,informational,/kits/fra-usa,"Birth Certificate for Marriage France",M,600,2,3
mariage en France citoyen américain,fr,transactional,/kits/fra-usa,"France → USA Marriage Kit",H,800,3,5
mariage en France citoyen britannique,fr,transactional,/kits/fra-gbr,"France → UK Marriage Kit",H,600,3,5
mariage en France citoyen canadien,fr,transactional,/kits/fra-can,"France → Canada Marriage Kit",H,500,3,5
mariage en France citoyen allemand,fr,transactional,/kits/fra-deu,"France → Germany Marriage Kit",H,400,2,4
mariage en France citoyen italien,fr,transactional,/kits/fra-ita,"France → Italy Marriage Kit",H,350,2,4
mariage en France citoyen espagnol,fr,transactional,/kits/fra-esp,"France → Spain Marriage Kit",H,300,2,4
CCAM France étranger,fr,informational,/kits/fra-usa,"CCAM France pour étrangers",H,1200,2,4
certificat de capacité matrimoniale France,fr,informational,/kits/fra-usa,"Certificat de Capacité Matrimoniale France",H,800,2,4
mariage France documents nécessaires,fr,informational,/kits/fra-usa,"Documents pour mariage en France",H,1000,2,4
mariage France procédure étape par étape,fr,informational,/kits/fra-usa,"Procédure mariage France",H,700,2,4
mariage France délais,fr,informational,/kits/fra-usa,"Délais mariage France",M,500,2,3
mariage France coûts,fr,informational,/kits/fra-usa,"Coûts mariage France",M,400,2,3
mariage France reconnaissance,fr,informational,/kits/fra-deu,"Reconnaissance mariage France",M,600,2,3
mariage France traduction documents,fr,informational,/kits/fra-usa,"Traduction documents mariage France",M,500,2,3
mariage France apostille,fr,informational,/kits/fra-usa,"Apostille mariage France",M,300,2,3
mariage France certificat célibat,fr,informational,/kits/fra-usa,"Certificat de célibat France",M,400,2,3
mariage France acte de naissance,fr,informational,/kits/fra-usa,"Acte de naissance mariage France",M,350,2,3
mariage France publication bans,fr,informational,/kits/fra-usa,"Publication bans mariage France",M,300,2,3
mariage France mairie,fr,informational,/kits/fra-usa,"Mariage mairie France",M,600,2,3
mariage France consulat,fr,informational,/kits/fra-usa,"Mariage consulat France",M,400,2,3
mariage France préfecture,fr,informational,/kits/fra-usa,"Mariage préfecture France",M,300,2,3
mariage France ambassade,fr,informational,/kits/fra-usa,"Mariage ambassade France",M,250,2,3
mariage France visa,fr,informational,/kits/fra-usa,"Visa mariage France",M,500,2,3
mariage France résidence,fr,informational,/kits/fra-usa,"Résidence mariage France",M,400,2,3
mariage France fiscalité,fr,informational,/kits/fra-usa,"Fiscalité mariage France",L,200,2,2
mariage France héritage,fr,informational,/kits/fra-usa,"Héritage mariage France",L,150,2,2
mariage France divorce,fr,informational,/kits/fra-usa,"Divorce mariage France",L,100,2,2
mariage France enfants,fr,informational,/kits/fra-usa,"Enfants mariage France",L,100,2,2
mariage France changement nom,fr,informational,/kits/fra-usa,"Changement nom mariage France",L,80,2,2
mariage France avantages,fr,informational,/kits/fra-usa,"Avantages mariage France",L,60,2,2
mariage France témoins,fr,informational,/kits/fra-usa,"Témoins mariage France",L,50,2,2
mariage France cérémonie,fr,informational,/kits/fra-usa,"Cérémonie mariage France",L,40,2,2
mariage France religieux,fr,informational,/kits/fra-usa,"Mariage religieux France",L,30,2,2
mariage France civil,fr,informational,/kits/fra-usa,"Mariage civil France",L,40,2,2
