URL,Check Type,Status,Issue,Priority,Notes
/,Title Length,Pass,52 chars (within 60 limit),Low,Optimized
/,Meta Description,Pass,155 chars (within limit),Low,Clear benefit + CTA
/,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/,Canonical Tag,Pass,Present and correct,Low,Self-referencing
/,Open Graph,Pass,Complete OG tags,Low,Title desc image
/,Twitter Cards,Pass,Complete Twitter tags,Low,Title desc image
/,JSON-LD Organization,Pass,Valid schema,Low,Complete fields
/,JSON-LD Website,Pass,Valid schema,Low,Search action included
/,Robots Meta,Pass,Index follow,Low,Proper directives
/kits,Title Length,Pass,52 chars (within limit),Low,Optimized
/kits,Meta Description,Pass,155 chars (within limit),Low,Clear benefit + CTA
/kits,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/kits,Canonical Tag,Pass,Present and correct,Low,Self-referencing
/kits,Open Graph,Pass,Complete OG tags,Low,Title desc image
/kits,Twitter Cards,Pass,Complete Twitter tags,Low,Title desc image
/kits,JSON-LD Organization,Pass,Valid schema,Low,Complete fields
/kits,JSON-LD Website,Pass,Valid schema,Low,Search action included
/pricing,Title Length,Pass,67 chars (within limit),Low,Optimized
/pricing,Meta Description,Pass,155 chars (within limit),Low,Clear benefit + CTA
/pricing,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/pricing,Canonical Tag,Pass,Present and correct,Low,Self-referencing
/pricing,Open Graph,Pass,Complete OG tags,Low,Title desc image
/pricing,Twitter Cards,Pass,Complete Twitter tags,Low,Title desc image
/pricing,JSON-LD Organization,Pass,Valid schema,Low,Complete fields
/pricing,JSON-LD Website,Pass,Valid schema,Low,Search action included
/kits/fra-usa,Title Length,Fail,Generic title (not optimized),Critical,Should be "France ⇄ United States Marriage Guide (2025) | LexAtlas"
/kits/fra-usa,Meta Description,Fail,Generic description (not optimized),Critical,Should be kit-specific description
/kits/fra-usa,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/kits/fra-usa,Canonical Tag,Fail,Wrong canonical URL,Major,Points to /kits instead of /kits/fra-usa
/kits/fra-usa,Open Graph,Fail,Generic OG data,Major,Should be kit-specific
/kits/fra-usa,Twitter Cards,Fail,Generic Twitter data,Major,Should be kit-specific
/kits/fra-usa,JSON-LD Product,Fail,Missing key fields,Critical,Missing description sku image url validFrom
/kits/fra-usa,JSON-LD Breadcrumbs,Pass,Valid schema,Low,Complete fields
/kits/fra-ita,Title Length,Fail,Generic title (not optimized),Critical,Should be "France ⇄ Italy Marriage Guide (2025) | LexAtlas"
/kits/fra-ita,Meta Description,Fail,Generic description (not optimized),Critical,Should be kit-specific description
/kits/fra-ita,H1 Present,Pass,Single H1 found,Low,Proper hierarchy
/kits/fra-ita,Canonical Tag,Fail,Wrong canonical URL,Major,Points to /kits instead of /kits/fra-ita
/kits/fra-ita,Open Graph,Fail,Generic OG data,Major,Should be kit-specific
/kits/fra-ita,Twitter Cards,Fail,Generic Twitter data,Major,Should be kit-specific
/kits/fra-ita,JSON-LD Product,Fail,Missing key fields,Critical,Missing description sku image url validFrom
/kits/fra-ita,JSON-LD Breadcrumbs,Pass,Valid schema,Low,Complete fields
/kits/fra-mar,Title Length,Fail,Generic title (not optimized),Critical,Should be "France ⇄ Morocco Marriage Guide (2025) | LexAtlas"
/kits/fra-mar,Meta Description,Fail,Generic description (not optimized),Critical,Should be kit-specific description
